Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,49.13,49.98,49.41,20257.0,21282.017798196313,-5.06
1,add1,49.55,49.89,49.67,20532.2,21526.843624383255,-4.84
2,add2,49.52,49.97,49.67,20549.1,21526.843624383255,-4.76
3,mul0,75.01,49.17,62.09,541070.0,543065.0970189865,-0.37
4,mul1,74.93,49.09,62.01,541259.0,543064.9628986653,-0.33
5,mul2,74.96,49.13,62.05,540241.0,543065.0304850226,-0.52
6,mul3,75.03,49.16,62.1,542741.0,543065.0970189865,-0.06
7,reg_Q0,49.17,49.17,49.17,24983.0,25119.713395501414,-0.55
8,reg_Q1,49.98,49.98,49.98,25089.0,25294.62299340156,-0.82
9,reg_Q2,49.89,49.89,49.89,25076.0,25294.62299340156,-0.87
10,reg_Y,49.97,49.97,49.97,24001.0,25294.62299340156,-5.39
11,zfir_8bit,75.01,49.97,49.97,2419440.0,2337599.4748443305,3.38
