Unnamed: 0,Components,alpha_in,alpha_out,alpha_inout,power [nW],est [nW],err_est [%]
0,add0,48.8,49.85,49.15,20191.3,21282.017798196313,-5.4
1,add1,49.36,49.77,49.5,20466.7,21282.017798196313,-3.98
2,add2,49.25,49.94,49.48,20473.2,21282.017798196313,-3.95
3,mul0,66.3,48.86,57.58,479709.0,484241.35690513795,-0.94
4,mul1,66.11,48.75,57.43,477567.0,484240.96616522875,-1.4
5,mul2,66.27,48.87,57.57,479787.0,484241.35690513795,-0.93
6,mul3,66.29,48.74,57.52,479934.0,484240.96616522875,-0.9
7,reg_Q0,48.86,48.86,48.86,24928.0,25119.713395501414,-0.77
8,reg_Q1,49.85,49.85,49.85,25068.0,25294.62299340156,-0.9
9,reg_Q2,49.77,49.77,49.77,25055.0,25294.62299340156,-0.96
10,reg_Y,49.94,49.94,49.94,24002.0,25294.62299340156,-5.39
11,zfir_8bit,66.3,49.94,49.94,2160670.0,2101814.2819110285,2.72
